キャラクター名,アニメタイトル
大田 つとむ（おおた つとむ）,行け!稲中卓球部
信ちゃん（しんちゃん）,行け!稲中卓球部
ケン,行け!稲中卓球部
すぐ夫の父,行け!稲中卓球部
住職,行け!稲中卓球部
大倉 純（おおくら じゅん）,行け!稲中卓球部
佐次京介,イケてる2人
小泉明,イケてる2人
甘糟真希,イケてる2人
蟻賀瀬涼子,イケてる2人
桑原進,イケてる2人
浦和克典,イケてる2人
桜井兼人,イケてる2人
梅宮悠樹,イケてる2人
黒木美紗,イケてる2人
黒木楓,イケてる2人
安西まどか,イケてる2人
此江真太郎,イケてる2人
黒木智史,イケてる2人
麻宮,イケてる2人
永盛由花菜,イケてる2人
空豆龍虎,イケてる2人
瀬波真,イケてる2人
小泉泪,イケてる2人
祝迫由姫,イケてる2人
唐沢先生,イケてる2人
甘糟美貴,イケてる2人
桜田門玲,イケてる2人
出演　,イケてる2人
スタッフ　,イケてる2人
イケてる刑事（イケてるポリス）　,イケてる2人
あさくら,石田とあさくら
石田（いしだ）,石田とあさくら
山田（やまだ）,石田とあさくら
佐藤（さとう）,石田とあさくら
木下（きのした）,石田とあさくら
奈々子,石田とあさくら
山口先生,石田とあさくら
アイアン山田一号,石田とあさくら
メイド,石田とあさくら
店長,石田とあさくら
山田妹,石田とあさくら
おっぱい星人,石田とあさくら
アインズ,異世界かるてっと
アルべド,異世界かるてっと
シャルティア,異世界かるてっと
アウラ,異世界かるてっと
マーレ,異世界かるてっと
デミウルゴス,異世界かるてっと
コキュートス,異世界かるてっと
ユリ、ルプスレギナ、ナーベラル、シズ、ソリュシャン、エントマ,異世界かるてっと
パンドラズ・アクター,異世界かるてっと
ハムスケ,異世界かるてっと
デスナイト,異世界かるてっと
カズマ,異世界かるてっと
アクア,異世界かるてっと
めぐみん,異世界かるてっと
ダクネス,異世界かるてっと
荒くれ者,異世界かるてっと
クリス,異世界かるてっと
ゆんゆん,異世界かるてっと
バニル,異世界かるてっと
機動要塞デストロイヤー,異世界かるてっと
エリス,異世界かるてっと
スバル,異世界かるてっと
エミリア,異世界かるてっと
パック,異世界かるてっと
レム,異世界かるてっと
ラム,異世界かるてっと
ベアトリス,異世界かるてっと
ラインハルト,異世界かるてっと
フェルト,異世界かるてっと
ユリウス,異世界かるてっと
ロズワール,異世界かるてっと
ターニャ,異世界かるてっと
ヴィーシャ,異世界かるてっと
ヴァイス,異世界かるてっと
グランツ,異世界かるてっと
ケーニッヒ,異世界かるてっと
ノイマン,異世界かるてっと
ツイーテ・ナイカ・タイヤネン,異世界かるてっと
レルゲン,異世界かるてっと
ルーデルドルフ,異世界かるてっと
ゼートゥーア,異世界かるてっと
ドクトル・シューゲル,異世界かるてっと
岩谷尚史（いわたに なおふみ）,異世界かるてっと
ラフタリア,異世界かるてっと
フィーロ,異世界かるてっと
アインズ,異世界かるてっと2
アルべド,異世界かるてっと2
シャルティア,異世界かるてっと2
アウラ,異世界かるてっと2
マーレ,異世界かるてっと2
デミウルゴス,異世界かるてっと2
コキュートス,異世界かるてっと2
ユリ、ルプスレギナ、ナーベラル、シズ、ソリュシャン、エントマ,異世界かるてっと2
パンドラズ・アクター,異世界かるてっと2
ハムスケ,異世界かるてっと2
デスナイト,異世界かるてっと2
カズマ,異世界かるてっと2
アクア,異世界かるてっと2
めぐみん,異世界かるてっと2
ダクネス,異世界かるてっと2
荒くれ者,異世界かるてっと2
クリス,異世界かるてっと2
ゆんゆん,異世界かるてっと2
バニル,異世界かるてっと2
機動要塞デストロイヤー,異世界かるてっと2
エリス,異世界かるてっと2
スバル,異世界かるてっと2
エミリア,異世界かるてっと2
パック,異世界かるてっと2
レム,異世界かるてっと2
ラム,異世界かるてっと2
ベアトリス,異世界かるてっと2
ラインハルト,異世界かるてっと2
フェルト,異世界かるてっと2
ユリウス,異世界かるてっと2
ロズワール,異世界かるてっと2
ターニャ,異世界かるてっと2
ヴィーシャ,異世界かるてっと2
ヴァイス,異世界かるてっと2
グランツ,異世界かるてっと2
ケーニッヒ,異世界かるてっと2
ノイマン,異世界かるてっと2
ツイーテ・ナイカ・タイヤネン[7],異世界かるてっと2
レルゲン,異世界かるてっと2
ルーデルドルフ,異世界かるてっと2
ゼートゥーア,異世界かるてっと2
ドクトル・シューゲル,異世界かるてっと2
岩谷尚史（いわたに なおふみ）,異世界かるてっと2
ラフタリア,異世界かるてっと2
フィーロ,異世界かるてっと2
店主,異世界食堂
アレッタ,異世界食堂
黒（クロ）,異世界食堂
山方 大樹（やまがた だいき）,異世界食堂
ヨミ / 山方 暦（やまがた こよみ）,異世界食堂
山方 早希（やまがた さき）,異世界食堂
店長,異世界食堂
マスター,異世界食堂
春子（はるこ）,異世界食堂
木村 将太（きむら しょうた）,異世界食堂
八代目,異世界食堂
サラ・ゴールド（メンチカツ2世[53]）,異世界食堂
シア・ゴールド,異世界食堂
ウィリアム・ゴールド（メンチカツ）,異世界食堂
ゴールド家（ゴールド商会）,異世界食堂
タツゴロウ（テリヤキ）,異世界食堂
アルトリウス（ロースカツ[53]）,異世界食堂
ハインリヒ・ゼーレマン（エビフライ）,異世界食堂
ファルダニア,異世界食堂
アリス,異世界食堂
赤の女王（ビーフシチュー）,異世界食堂
バルログ[注釈 33],異世界食堂
トマス・アルフェイド（ミートソース）,異世界食堂
シリウス・アルフェイド（ナポリタン）,異世界食堂
シリウス・アルフェイド（ナポリタン[74]）,異世界食堂
ジョナサン・ウィーンズバーグ（ピザ）,異世界食堂
ガガンポ（オムライス）,異世界食堂
ゲルパ,異世界食堂
アーデルハイド（チョコレートパフェ）,異世界食堂
ハンナ,異世界食堂
ヴィルヘイム（コロッケ）[注釈 40],異世界食堂
現皇帝,異世界食堂
ピッケとパッケ,異世界食堂
ソウエモンとドウシュン（お好み焼き）,異世界食堂
セレスティーヌ・フレグラン（パウンドケーキ）,異世界食堂
カルロッタ,異世界食堂
アンナ,異世界食堂
ジュリアンヌ,異世界食堂
ブリジット,異世界食堂
ロメロとジュリエッタ,異世界食堂
ロロナ[注釈 46],異世界食堂
リリパットたち（ホットケーキ）,異世界食堂
ユート（ポークジンジャー）,異世界食堂
マシラ,異世界食堂
アルフォンス・フリューゲル（カレーライス）,異世界食堂
エルマー,異世界食堂
ヴィクトリア・サマナーク（プリンアラモード）,異世界食堂
アルフレッドとマルガレーテ（お子様ランチ）,異世界食堂
ジャック、ケント、テリー（ハンバーガー）,異世界食堂
シャリーフ（コーヒーフロート）,異世界食堂
ラナー（クリームソーダ）,異世界食堂
ギレムとガルド,異世界食堂
ヨハン[注釈 63],異世界食堂
ヒルダ（チーズケーキ）,異世界食堂
セシリア,異世界食堂
ラニージャ,異世界食堂
クリスティアン（納豆スパ）,異世界食堂
フェイリー（カルビ丼）,異世界食堂
エレンとヘルマン,異世界食堂
クラウゼ,異世界食堂
タツジとオトラ（ローストチキン）,異世界食堂
ネズミ,異世界食堂
ティアナ・シルバリオ16世（クレープ）,異世界食堂
シルヴィア・シルバリオ13世,異世界食堂
ティエリア,異世界食堂
パウロ,異世界食堂
テッド,異世界食堂
アルバート,異世界食堂
ガリウス,異世界食堂
ザック,異世界食堂
リディア,異世界食堂
サシャ,異世界食堂
イリスとアーリウス（カルパッチョ）,異世界食堂
トウイチロウ（ホットドッグ）,異世界食堂
アントニオ（スイートポテトタルト）,異世界食堂
グスターボ,異世界食堂
アリサとメイメイ（キノコスパ）,異世界食堂
アイーシャ（シーフードピラフ）,異世界食堂
リンダ・アルフェイド,異世界食堂
ライオネル（カツ丼）,異世界食堂
ジゼル（モンブラン）,異世界食堂
トーマス,異世界食堂
ルシア（スコッチエッグ）,異世界食堂
エミリオ,異世界食堂
コヘイジ,異世界食堂
リチとトト（アップルパイ）,異世界食堂
メリッサ,異世界食堂
アーノルドとエリー,異世界食堂
マイラとヨハン（マカロニグラタン）,異世界食堂
ラウリ,異世界食堂
セレナ（お汁粉）,異世界食堂
アルテ（ハンバーグ）,異世界食堂
ロウケイ,異世界食堂
グレンとイグニス,異世界食堂
グレアム・ベルトラン,異世界食堂
アルベルト（ポークチャップ）,異世界食堂
カタリーナ（ティラミス）,異世界食堂
白の子,異世界食堂
ティーダ,異世界食堂
フェン,異世界食堂
ジュニア / ウィリアム・ゴールド,異世界食堂
マリベル,異世界食堂
マリベルの父（アーモンドチョコレート）,異世界食堂
ハチロウ（親子丼）,異世界食堂
アーレフ,異世界食堂
メイファン,異世界食堂
カミラ（フルーツゼリー）,異世界食堂
ナーデル,異世界食堂
アデリア（スパニッシュオムレツ）,異世界食堂
カルロス,異世界食堂
ソフィ（ポテトチップス）,異世界食堂
オニワカ,異世界食堂
ショウジロウ,異世界食堂
ジェラール・ヘプケン,異世界食堂
クラウディア,異世界食堂
サリア,異世界食堂
エドモン（カルボナーラ）,異世界食堂
ソウジュン,異世界食堂
ウルリック,異世界食堂
アルザス,異世界食堂
マリナ / アイリ[注釈 78],異世界食堂
イルゼガント,異世界食堂
ライナー,異世界食堂
グスタフ,異世界食堂
ジュリアス・ゴールド,異世界食堂
ヘンリー,異世界食堂
ラスティーナ,異世界食堂
ファル,異世界食堂
アルティーナ,異世界食堂
レオナルド,異世界食堂
アルトリウス,異世界食堂
アレクサンデル,異世界食堂
ヨミ,異世界食堂
西村 太一（にしむら たいち）,異世界チート魔術師
吾妻 凛（あずま りん）,異世界チート魔術師
ミューラ,異世界チート魔術師
レミーア・サンタクル,異世界チート魔術師
ジェラード・ボガード,異世界チート魔術師
マリエ,異世界チート魔術師
アルメダ,異世界チート魔術師
バラダー、ラケルタ、メヒリャ,異世界チート魔術師
アナスタシア,異世界チート魔術師
ミロ、メロ,異世界チート魔術師
ジルマール・エリステイン,異世界チート魔術師
シャルロット・エリステイン,異世界チート魔術師
アルセナ,異世界チート魔術師
スミェーラ・ガーヤ,異世界チート魔術師
ベラ・ラフマ,異世界チート魔術師
エアリィ（エアリアル）/ シルフィ（シルフィード）,異世界チート魔術師
シェイド,異世界チート魔術師
カシム,異世界チート魔術師
グラミ,異世界チート魔術師
白い服の男 / ロドラ,異世界チート魔術師
ドルトエスハイム,異世界チート魔術師
イニミークス,異世界チート魔術師
ニルガン,異世界チート魔術師
マルケーゼ,異世界チート魔術師
ミストフォロス,異世界チート魔術師
マギル、ライテ,異世界チート魔術師
スソラ,異世界チート魔術師
ツインヘッドドラゴン,異世界チート魔術師
小野寺 貴史（おのでら たかし）,異世界チート魔術師
望月 冬夜（もちづき とうや）,異世界はスマートフォンとともに。
ユミナ・エルネア・ベルファスト,異世界はスマートフォンとともに。
エルゼ・シルエスカ,異世界はスマートフォンとともに。
リンゼ・シルエスカ,異世界はスマートフォンとともに。
九重 八重（ここのえ やえ）,異世界はスマートフォンとともに。
ルーシア・レア・レグルス,異世界はスマートフォンとともに。
スゥシィ・エルネア・オルトリンデ,異世界はスマートフォンとともに。
ヒルデガルド・ミナス・レスティア,異世界はスマートフォンとともに。
リーン,異世界はスマートフォンとともに。
桜（さくら）,異世界はスマートフォンとともに。
ポーラ,異世界はスマートフォンとともに。
琥珀（こはく）,異世界はスマートフォンとともに。
黒曜&珊瑚（こくよう&さんご）,異世界はスマートフォンとともに。
紅玉（こうぎょく）,異世界はスマートフォンとともに。
瑠璃（るり）,異世界はスマートフォンとともに。
望月 花恋（もちづき かれん）,異世界はスマートフォンとともに。
望月 諸刃（もちづき もろは）,異世界はスマートフォンとともに。
望月 時江（もちづき ときえ）,異世界はスマートフォンとともに。
フランシェスカ,異世界はスマートフォンとともに。
ハイロゼッタ,異世界はスマートフォンとともに。
ベルフローラ,異世界はスマートフォンとともに。
フレドモニカ,異世界はスマートフォンとともに。
プレリオラ,異世界はスマートフォンとともに。
パメラノエル,異世界はスマートフォンとともに。
イリスファム,異世界はスマートフォンとともに。
リルルパルシェ,異世界はスマートフォンとともに。
アトランティカ,異世界はスマートフォンとともに。
レジーナ・バビロン,異世界はスマートフォンとともに。
高坂 政信（こうさか まさのぶ）,異世界はスマートフォンとともに。
ライム,異世界はスマートフォンとともに。
ラピス,異世界はスマートフォンとともに。
セシル,異世界はスマートフォンとともに。
レネ,異世界はスマートフォンとともに。
フィアナ・フォルネウス,異世界はスマートフォンとともに。
レイン→レイン・ネザーランド,異世界はスマートフォンとともに。
ノルン→ノルン・シベリア→ノルエ・シベリア,異世界はスマートフォンとともに。
ニコラ・ストランド,異世界はスマートフォンとともに。
スピカ・フレンネル,異世界はスマートフォンとともに。
猿飛 焔（さるとび ほむら）,異世界はスマートフォンとともに。
レリシャ・ミリアン,異世界はスマートフォンとともに。
アリステラ,異世界はスマートフォンとともに。
八雲（やくも）,異世界はスマートフォンとともに。
フレイガルド,異世界はスマートフォンとともに。
クーン,異世界はスマートフォンとともに。
ヨシノ,異世界はスマートフォンとともに。
アーシア,異世界はスマートフォンとともに。
エルナ,異世界はスマートフォンとともに。
リンネ,異世界はスマートフォンとともに。
久遠（くおん）,異世界はスマートフォンとともに。
ステフ,異世界はスマートフォンとともに。
トリストウィン・エルネス・ベルファスト,異世界はスマートフォンとともに。
アルフレッド・エルネス・オルトリンデ,異世界はスマートフォンとともに。
シャルロッテ,異世界はスマートフォンとともに。
レイム,異世界はスマートフォンとともに。
リオン・ブリッツ,異世界はスマートフォンとともに。
ミカ,異世界はスマートフォンとともに。
アエル,異世界はスマートフォンとともに。
ザナック・ゼンフィールド,異世界はスマートフォンとともに。
ジャムカ・ブラウ・ミスミド,異世界はスマートフォンとともに。
オルバ・ストランド,異世界はスマートフォンとともに。
オリガ・ストランド,異世界はスマートフォンとともに。
アルマ・ストランド,異世界はスマートフォンとともに。
九重 重兵衛（ここのえ じゅうべい）,異世界はスマートフォンとともに。
