キャラクター名,アニメタイトル
風魔 小平太（ふうま こへいた）,イナズマイレブン
甲賀 幻（こうが げん）,イナズマイレブン
猿飛 佐之助（さるとび さのすけ）,イナズマイレブン
柳生 十郎（やぎゅう じゅうろう）,イナズマイレブン
初鳥 伴三（はつとり はんぞう）,イナズマイレブン
城戸 弥門（きど やもん）,イナズマイレブン
針屋 也三郎（はちや やさぶろう）,イナズマイレブン
加藤 段（かとう だん）,イナズマイレブン
出浦 清盛（いでうら きよもり）,イナズマイレブン
滝川 一馬（たきがわ かずま）,イナズマイレブン
伊賀島 仙一（いがじま せんいち）,イナズマイレブン
原野 徹（はらの とおる）,イナズマイレブン
綾野 勇一（あやの ゆういち）,イナズマイレブン
炭野 詠輔（すみの えいすけ）,イナズマイレブン
芹沢 和憲（せりざわ かずのり）,イナズマイレブン
牧谷 寛（まきや ひろし）,イナズマイレブン
塩谷 ヒロ（しおたに ヒロ）,イナズマイレブン
山根 羊（やまね よう）,イナズマイレブン
育井 庄児（いくい しょうじ）,イナズマイレブン
大鯉 昇（おおごい のぼる）,イナズマイレブン
根上 大地（ねがみ だいち）,イナズマイレブン
田主丸 茂樹（たぬしまる しげき）,イナズマイレブン
草生 久志（くさお ひさし）,イナズマイレブン
米山 植人（よねやま うえひと）,イナズマイレブン
犬飼 茂樹（いぬかい しげき）,イナズマイレブン
福井 咲平（ふくい さくへい）,イナズマイレブン
富士 地洋（ふじ ちひろ）,イナズマイレブン
新野 亀吉（しんの かめきち）,イナズマイレブン
武方 勝（むかた まさる）,イナズマイレブン
武方 友（むかた とも）,イナズマイレブン
武方 努（むかた つとむ）,イナズマイレブン
軟山 弱（なんざん よわみ）,イナズマイレブン
女川 映日（めがわ あきひ）,イナズマイレブン
光宗 団（みつむね だん）,イナズマイレブン
黒部 立樹（くろべ りつき）,イナズマイレブン
跳山 段（とびやま だん）,イナズマイレブン
屋形 直人（やかた なおと）,イナズマイレブン
茂木 沙樹都（もぎ さきと）,イナズマイレブン
段堂 正憲（だんどう まさのり）,イナズマイレブン
深沢 念司（ふかざわ ねんじ）,イナズマイレブン
守野 優一（まもりの ゆういち）,イナズマイレブン
中井 陽介（なかい ようすけ）,イナズマイレブン
石井 清気（いしい せいき）,イナズマイレブン
二階堂 修吾（にかいどう しゅうご）,イナズマイレブン
亜風炉 照美（あふろ てるみ）,イナズマイレブン
歩星 呑一（ぽせい どんいち）,イナズマイレブン
阿保露 光（あぽろ ひかる）,イナズマイレブン
部灰 炎（へばい えん）,イナズマイレブン
荒須 乱（あれす らん）,イナズマイレブン
手魚 激（でいお げき）,イナズマイレブン
在手 実弓（あるて さねき）,イナズマイレブン
経目 須商（へるめ まつあき）,イナズマイレブン
明天名 智（あてな とも）,イナズマイレブン
出右手 豊（でめて ゆたか）,イナズマイレブン
平良 貞（へら ただし）,イナズマイレブン
位家 路主（いか みちゆき）,イナズマイレブン
安芸 玲須（あき たままつ）,イナズマイレブン
経洛 玲州（へらく れす）,イナズマイレブン
黒野 時夫（くろの ときお）,イナズマイレブン
目戸 宇佐（めど うさ）,イナズマイレブン
吉良 星二郎（きら せいじろう）,イナズマイレブン
研崎 竜一（けんざき りゅういち）,イナズマイレブン
吉良ヒロト（きら ひろと）,イナズマイレブン
レーゼ / 緑川 リュウジ（みどりかわ リュウジ）,イナズマイレブン
ゴルレオ / 五流 玲於（ごりゅう れお）,イナズマイレブン
ギグ / 菊間 章介（きくま しょうすけ）,イナズマイレブン
ガニメデ / 蟹目 出郎（かにめ　いでろう）,イナズマイレブン
コラル / 珊瑚 義郎（さんご よしろう）,イナズマイレブン
カロン / 家禄 聡里（かろく さとり）,イナズマイレブン
パンドラ / 近畿 希望（きんき のぞみ）,イナズマイレブン
グリンゴ / 面月 宇宙（おもつき そら）,イナズマイレブン
イオ / 伊尾 駿太郎（いお しゅんたろう）,イナズマイレブン
リーム / 七風 理夢（ななかぜ りむ）,イナズマイレブン
ディアム / 三浦 大夢（みうら ひろむ）,イナズマイレブン
デザーム / 砂木沼 治（さぎぬま おさむ）,イナズマイレブン
ケンビル / 比留間 健一（ひるま けんいち）,イナズマイレブン
モール / 森野 留美（もりの るみ）,イナズマイレブン
ケイソン / 村田 圭介（むらた けいすけ）,イナズマイレブン
タイタン / 丹波 太二（たんば たいじ）,イナズマイレブン
ファドラ / 端東 虎彦（はとう とらひこ）,イナズマイレブン
クリプト / 九里 風子（くり ふうこ）,イナズマイレブン
スオーム / 牟礼田 蜂郎（むれた はちろう）,イナズマイレブン
マキュア / 皇 マキ（すめらぎ マキ）,イナズマイレブン
メトロン / 武藤 論（むとう さとし）,イナズマイレブン
ゼル / 瀬方 隆一郎（せがた りゅういちろう）,イナズマイレブン
グラン / 基山 ヒロト（きやま ヒロト）,イナズマイレブン
ウルビダ / 八神 玲名（やがみ れいな）,イナズマイレブン
ネロ / 根室 君之（ねむろ きみゆき）,イナズマイレブン
ゲイル / 鯨井 隆則（くじらい たかのり）,イナズマイレブン
キーブ / 紀伊 布美子（きい ふみこ）,イナズマイレブン
ゾーハン / 石平 半蔵（いしだいら はんぞう）,イナズマイレブン
ハウザー / 羽崎 剛太（はねさき ごうた）,イナズマイレブン
コーマ / 駒沢 恭馬（こまざわ きょうま）,イナズマイレブン
クィール / 久井 ルル（くい ルル）,イナズマイレブン
アーク / 阿久津 聖（あくつ きよし）,イナズマイレブン
ウィーズ / 伊豆野 由宇（いずの ゆう）,イナズマイレブン
バーン / 南雲 晴矢（なぐも はるや）,イナズマイレブン
グレント / 大岩 蔵人（おおいわ くらんど）,イナズマイレブン
バーラ / 薔薇園 華（ばらぞの はな）,イナズマイレブン
ボンバ / 本場 激（ほんば げき）,イナズマイレブン
ヒート / 厚石 茂人（あついし しげと）,イナズマイレブン
ネッパー / 熱波 夏彦（ねつは なつひこ）,イナズマイレブン
バクレー / 葉隠 幸太郎（はがくれ こうたろう）,イナズマイレブン
サトス / 佐藤 数男（さとう かずお）,イナズマイレブン
レアン / 蓮池 杏（はすいけ あん）,イナズマイレブン
ボニトナ / 仁藤 穂香（にとう ほのか）,イナズマイレブン
サイデン / 祭殿 丞（さいでん じょう）,イナズマイレブン
ガゼル / 涼野 風介（すずの ふうすけ）,イナズマイレブン
クララ / 倉掛 クララ（くらか クララ）,イナズマイレブン
ゴッカ / 極川 寒太郎（ごくかわ かんたろう）,イナズマイレブン
ドロル / 角路 徹（かどみち とおる）,イナズマイレブン
リオーネ / 栗尾根 由紀（くりおね ゆき）,イナズマイレブン
ベルガ / 白井 一角（しらい いっかく）,イナズマイレブン
アイキュー / 凍地 修児（とうち しゅうじ）,イナズマイレブン
アイシー / 凍地 愛（とうち あい）,イナズマイレブン
バレン / 鳥羽 蓮（とば れん）,イナズマイレブン
ブロウ / 旋風野 冬司（つむじの とうじ）,イナズマイレブン
フロスト / 御氷 雫（みこおり れい）,イナズマイレブン
風丸 一郎太（かぜまる いちろうた）,イナズマイレブン
染岡 竜吾（そめおか りゅうご）,イナズマイレブン
杉森 威（すぎもり たけし）,イナズマイレブン
西垣 守（にしがき まもる）,イナズマイレブン
闇野 カゲト（やみの カゲト）,イナズマイレブン
影野 仁（かげの じん）,イナズマイレブン
栗松 鉄平（くりまつ てっぺい）,イナズマイレブン
半田 真一（はんだ しんいち）,イナズマイレブン
少林寺 歩（しょうりんじ あゆむ）,イナズマイレブン
宍戸 佐吉（ししど さきち）,イナズマイレブン
松野 空介（まつの くうすけ）,イナズマイレブン
財前 塔子（ざいぜん とうこ）,イナズマイレブン
鉄壁 堅（てつかべ けん）,イナズマイレブン
五洋 武（ごよう たけし）,イナズマイレブン
疾風 隼人（はやて はやと）,イナズマイレブン
桜 多聞（さくら たもん）,イナズマイレブン
角巣 英二（すみす えいじ）,イナズマイレブン
極火 務（ごくひ つとむ）,イナズマイレブン
館野 舞（たての まい）,イナズマイレブン
先手 勝（さきて まさる）,イナズマイレブン
加賀美 法子（かがみ ほうこ）,イナズマイレブン
木曽久 順（きそく じゅん）,イナズマイレブン
弾倉 撃（たまくら げき）,イナズマイレブン
特部 遂行（とくべ なりゆき）,イナズマイレブン
電受 集（でんじゅ あつむ）,イナズマイレブン
日影 リンダ（ひかげ リンダ）,イナズマイレブン
身辺 保（みのべ たもつ）,イナズマイレブン
財前 宗助（ざいぜん そうすけ）,イナズマイレブン
吹雪 士郎（ふぶき しろう）,イナズマイレブン
吹雪 アツヤ（ふぶき アツヤ）,イナズマイレブン
函田 鉄（はこだ てつ）,イナズマイレブン
真都路 珠香（まとろ じゅか）,イナズマイレブン
押矢 万部（おしや まんべ）,イナズマイレブン
目深 宗司（まぶか そうじ）,イナズマイレブン
雪野 星也（ゆきの せいや）,イナズマイレブン
荒谷 紺子（あらや こんこ）,イナズマイレブン
居屋 真降（いや まふる）,イナズマイレブン
空野 礼文（そらの れぶん）,イナズマイレブン
氷上 烈斗（ひょうじょう れつと）,イナズマイレブン
喜多海 流（きたみ りゅう）,イナズマイレブン
炭谷 達磨（すみたに たつまろ）,イナズマイレブン
白熊 氷司（しろくま ひょうじ）,イナズマイレブン
湿原 然（しつはら ぜん）,イナズマイレブン
五稜 武揚（ごりょう たけあき）,イナズマイレブン
地平 広大（ちひら こうだい）,イナズマイレブン
白恋中監督,イナズマイレブン
木暮 夕弥（こぐれ ゆうや）,イナズマイレブン
影田 巡（かげた めぐる）,イナズマイレブン
垣田 大将（かきた たいしょう）,イナズマイレブン
悟里 開（さとり かい）,イナズマイレブン
宝玉 光（ほうぎょく ひかる）,イナズマイレブン
福見 観邑（ふくみ みおう）,イナズマイレブン
真仮名井 承（まかない しょう）,イナズマイレブン
高夢 宗一（たかゆめ そういち）,イナズマイレブン
学舎 一筋（まなびや いっきん）,イナズマイレブン
市川 太衛門（いちかわ たえもん）,イナズマイレブン
天神 阿太郎（てんじん あたろう）,イナズマイレブン
天神 吽助（てんじん うすけ）,イナズマイレブン
五重 学（いつしげ まなぶ）,イナズマイレブン
賀茂 歓行（かも よしゆき）,イナズマイレブン
五山 送（ござん そう）,イナズマイレブン
総本 号（おさもと ごう）,イナズマイレブン
漫遊寺中監督,イナズマイレブン
不動 明王（ふどう あきお）,イナズマイレブン
佐久間 次郎（さくま じろう）,イナズマイレブン
源田 幸次郎（げんだ こうじろう）,イナズマイレブン
帯屋 暦人（たいや れきと）,イナズマイレブン
弥谷 剣五（いやたに けんご）,イナズマイレブン
郷院 猛（ごういん たけし）,イナズマイレブン
竺和 了（じくわ りょう）,イナズマイレブン
目座 相斗（めざ あいと）,イナズマイレブン
日柄 美照（ひから よしてる）,イナズマイレブン
小鳥遊 忍（たかなし しのぶ）,イナズマイレブン
比得 呂介（ひえ りょうすけ）,イナズマイレブン
片倉 慈音（かたくら じおん）,イナズマイレブン
相馬 善鬼（そうま ぜんき）,イナズマイレブン
少弐 暁（しょうに あかつき）,イナズマイレブン
戸次 弘佑（べっき こうすけ）,イナズマイレブン
一色 真砂士（いっしき まさし）,イナズマイレブン
影山 零治（かげやま れいじ）,イナズマイレブン
浦部 リカ（うらべ リカ）,イナズマイレブン
土洲 恋（どす こい）,イナズマイレブン
虎浜 甲子（とらはま こうこ）,イナズマイレブン
堀 道子（ほり みちこ）,イナズマイレブン
梅田 陽海（うめだ はるみ）,イナズマイレブン
串田 香津世（くしだ かつよ）,イナズマイレブン
万 博美（よろず ひろみ）,イナズマイレブン
蛸谷 紀子（たこや のりこ）,イナズマイレブン
浪川 花子（なみかわ はなこ）,イナズマイレブン
天王寺 万里（てんのうじ まり）,イナズマイレブン
御堂 玲華（みどう れいか）,イナズマイレブン
根切 ともえ（ねぎり ともえ）,イナズマイレブン
通天 光里（つうてん ひかり）,イナズマイレブン
船場 銀子（せんば ぎんこ）,イナズマイレブン
岸和田 祭（きしわだ まつり）,イナズマイレブン
難波 花枝（なんば はなえ）,イナズマイレブン
リカママ,イナズマイレブン
立向居 勇気（たちむかい ゆうき）,イナズマイレブン
戸田 雄一郎（とだ ゆういちろう）,イナズマイレブン
筑紫 国光（ちくし くにみつ）,イナズマイレブン
大濠 満敬（おおほり みちとし）,イナズマイレブン
玄海 波人（げんかい なみと）,イナズマイレブン
石山 防仁（いしやま もりひと）,イナズマイレブン
志賀 金印（しか かねあき）,イナズマイレブン
道端 詠（みちはた うたう）,イナズマイレブン
笠山 走（かさやま そう）,イナズマイレブン
祭利田 我暑衣（まつりだ わっしょい）,イナズマイレブン
黒田 槍道（くろだ やりみち）,イナズマイレブン
松林 躍（まつばやし ゆう）,イナズマイレブン
仁若 芸知（にかわ よしとも）,イナズマイレブン
親富 孝（おやとみ たかし）,イナズマイレブン
長浜 細道（ながはま ほそみち）,イナズマイレブン
太宰 梅吉（だざい うめきち）,イナズマイレブン
沖ノ島 宗（おきのしま そう）,イナズマイレブン
陽花戸中監督,イナズマイレブン
陽花戸中校長,イナズマイレブン
綱海 条介（つなみ じょうすけ）,イナズマイレブン
音村 楽也（おとむら がくや）,イナズマイレブン
首里 巌（しゅり いわお）,イナズマイレブン
平良 潜（たいら もぐる）,イナズマイレブン
宜保 兼勝（ぎぼ かねかつ）,イナズマイレブン
赤嶺 宏昭（あかみね ひろあき）,イナズマイレブン
渡具知 雅洋（とぐち まさひろ）,イナズマイレブン
喜屋武 梨花（きゃん りんか）,イナズマイレブン
古謝 秀範（こじゃ ひでのり）,イナズマイレブン
東江 矢須雄（あがりえ やすお）,イナズマイレブン
池宮城 波留（いけみやぎ はる）,イナズマイレブン
安室 幹生（あむろ みきお）,イナズマイレブン
親泊 永星（おやどまり ながせ）,イナズマイレブン
瑞氣覧 礼人（ずけらん れいと）,イナズマイレブン
知念 直輝（ちねん なおき）,イナズマイレブン
謝花 サンゴ（じゃはな サンゴ）,イナズマイレブン
大海原監督,イナズマイレブン
土方 雷電（ひじかた らいでん）,イナズマイレブン
土方 雷雲（ひじかた らいうん）,イナズマイレブン
円堂 守【雷門中】,イナズマイレブン
豪炎寺 修也【雷門中】,イナズマイレブン
鬼道 有人【雷門中】,イナズマイレブン
吹雪 士郎【白恋中】,イナズマイレブン
宇都宮 虎丸（うつのみや とらまる）,イナズマイレブン
風丸 一郎太【雷門中】,イナズマイレブン
壁山 塀吾郎【雷門中】,イナズマイレブン
綱海 条介【大海原中】,イナズマイレブン
栗松 鉄平【雷門中】,イナズマイレブン
木暮 夕弥【漫遊寺中】,イナズマイレブン
飛鷹 征矢（とびたか せいや）,イナズマイレブン
不動 明王【真・帝国学園】,イナズマイレブン
土方 雷電,イナズマイレブン
緑川 リュウジ【エイリア学園】,イナズマイレブン
佐久間 次郎【帝国学園】,イナズマイレブン
染岡 竜吾【雷門中】,イナズマイレブン
基山 ヒロト【エイリア学園】,イナズマイレブン
立向居 勇気【陽花戸中】,イナズマイレブン
久遠 道也（くどう みちや）【雷門中】,イナズマイレブン
久遠 冬花（くどう ふゆか）【雷門中】,イナズマイレブン
木野 秋【雷門中】,イナズマイレブン
音無 春奈【雷門中】,イナズマイレブン
目金 欠流【雷門中】,イナズマイレブン
松野 空介【雷門中】,イナズマイレブン
闇野 カゲト【雷門中】,イナズマイレブン
武方 勝【木戸川清修中】,イナズマイレブン
目金 一斗,イナズマイレブン
多摩野 五郎【雷門中】,イナズマイレブン
大野 伝助【帝国学園】,イナズマイレブン
宇都宮 たえ（うつのみや たえ）,イナズマイレブン
梨本 乃々美（なしもと ののみ）,イナズマイレブン
鈴目 純一（すずめ じゅんいち）,イナズマイレブン
唐須 幸人（からす ゆきひと）,イナズマイレブン
小野 正隆（おの まさたか）,イナズマイレブン
砂木沼 治【エイリア学園】,イナズマイレブン
源田 幸次郎【帝国学園】,イナズマイレブン
成神 健也【帝国学園】,イナズマイレブン
石平 半蔵【エイリア学園】,イナズマイレブン
郷院 猛【真・帝国学園】,イナズマイレブン
寺門 大貴【帝国学園】,イナズマイレブン
下鶴 改【御影専農中】,イナズマイレブン
霧隠 才次【戦国伊賀島中】,イナズマイレブン
幽谷 博之【尾刈斗中】,イナズマイレブン
伊豆野 由宇【エイリア学園】,イナズマイレブン
瀬方 隆一郎【エイリア学園】,イナズマイレブン
厚石 茂人【エイリア学園】,イナズマイレブン
平良 貞【世宇子中】,イナズマイレブン
武方 努【木戸川清修中】,イナズマイレブン
出右手 豊【世宇子中】,イナズマイレブン
牧谷 寛【千羽山中】,イナズマイレブン
吉良 瞳子,イナズマイレブン
ニース・ドルフィン,イナズマイレブン
ジーン・ベイカー,イナズマイレブン
デビット・ウォーターマン,イナズマイレブン
シャイン・ビーチ,イナズマイレブン
カーメイ・コーラー,イナズマイレブン
クラーク・ケイン,イナズマイレブン
シュリー・プリンストン,イナズマイレブン
マット・アングル,イナズマイレブン
サーフ・ウィンダス,イナズマイレブン
リーフ・ハミルトン,イナズマイレブン
ジョー・ジョーンズ,イナズマイレブン
クインシー・ホースト,イナズマイレブン
ホリー・サマーズ,イナズマイレブン
クライブ・シザース,イナズマイレブン
ダニエル・バラック,イナズマイレブン
ブルース・マーリン,イナズマイレブン
ロベルト・クライザー,イナズマイレブン
ビヨン・カイル,イナズマイレブン
ナセル・ムスタファ,イナズマイレブン
ファル・ファルーク,イナズマイレブン
ジャメル・ジャマドゥ,イナズマイレブン
ムサ・サイラー,イナズマイレブン
ユスフ・ムハディ,イナズマイレブン
スライ・スライマーン,イナズマイレブン
セイド・アルマンド,イナズマイレブン
メッサー・ジャシム,イナズマイレブン
ザック・アブドゥラ,イナズマイレブン
マジディ・イスマイール,イナズマイレブン
タラル・ハマド,イナズマイレブン
ハッサン・アーメド,イナズマイレブン
ハルファン・ジブリール,イナズマイレブン
ラジャブ・イスマイール,イナズマイレブン
アデル・シディク,イナズマイレブン
エリザ・マノン,イナズマイレブン
亜風炉 照美【世宇子中】,イナズマイレブン
南雲 晴矢【エイリア学園】,イナズマイレブン
涼野 風介【エイリア学園】,イナズマイレブン
チェ・チャンスウ,イナズマイレブン
チョ・ジョンス,イナズマイレブン
ファン・ウミャン,イナズマイレブン
ホン・ドゥユン,イナズマイレブン
チョウ・ミョンホ,イナズマイレブン
コ・ソンファン,イナズマイレブン
パク・ペクヨン,イナズマイレブン
キム・ウンヨン,イナズマイレブン
ホ・チナン,イナズマイレブン
ソル・ヒョンデ,イナズマイレブン
イ・チョンユン,イナズマイレブン
ノ・ソンジュン,イナズマイレブン
チャ・ジョンウォン,イナズマイレブン
イ・ジンソン,イナズマイレブン
エドガー・バルチナス,イナズマイレブン
フレディ・マックイーン,イナズマイレブン
ジョニー・ガスコイン,イナズマイレブン
デービッド・バッキンガム,イナズマイレブン
ランス・ロットン,イナズマイレブン
エッジ・リッパー,イナズマイレブン
ピーター・コール,イナズマイレブン
ゲイリー・リンクス,イナズマイレブン
ポール・アップルトン,イナズマイレブン
エリック・パープルトン,イナズマイレブン
フィリップ・オーウェン,イナズマイレブン
ギャレス・バレット,イナズマイレブン
マーティン・スコール,イナズマイレブン
ニック・ウッドゲート,イナズマイレブン
マイキー・リチャーズ,イナズマイレブン
ビート・スマッシュ,イナズマイレブン
アーロン・アダムス,イナズマイレブン
テレス・トルーエ,イナズマイレブン
ホルヘ・オルデガ,イナズマイレブン
フリオ・アコスタ,イナズマイレブン
ゴルド・ディアス,イナズマイレブン
ラモン・マルチネス,イナズマイレブン
エステバン・カルロス,イナズマイレブン
セルヒオ・ペレス,イナズマイレブン
ロベルト・トーレス,イナズマイレブン
パブロ・カスティーヨ,イナズマイレブン
レオーネ・バティゴ,イナズマイレブン
ディエゴ・オロ,イナズマイレブン
リオネル・クルス,イナズマイレブン
マリオ・サビオラ,イナズマイレブン
エルナン・テベス,イナズマイレブン
ヘルマン・サムエル,イナズマイレブン
リカルド・アグエロ,イナズマイレブン
ダニエル・スタービン,イナズマイレブン
一之瀬 一哉【雷門中】,イナズマイレブン
土門 飛鳥【雷門中】,イナズマイレブン
マーク・クルーガー,イナズマイレブン
ディラン・キース,イナズマイレブン
ビリー・ラピッド,イナズマイレブン
テッド・ブライアン,イナズマイレブン
トニー・ストライダス,イナズマイレブン
ダイク・ダイナモ,イナズマイレブン
スティーブ・ウッドマック,イナズマイレブン
ショーン・ピアース,イナズマイレブン
ミケーレ・ジャックス,イナズマイレブン
アレックス・ホーク,イナズマイレブン
ロブ・パーカー,イナズマイレブン
ボブ・ボビンス,イナズマイレブン
サミー・デンプシー,イナズマイレブン
エディ・ハワード,イナズマイレブン
マック・スクライド,イナズマイレブン
フィディオ・アルデナ,イナズマイレブン
ヒデ・ナカタ / 中田 英寿（なかた ひでとし）,イナズマイレブン
ジジ・ブラージ,イナズマイレブン
ベント・ガリアーノ,イナズマイレブン
オットリーノ・ノビリ,イナズマイレブン
アントン・ガッツーゾ,イナズマイレブン
マルコ・マセラッティ,イナズマイレブン
アンジェロ・ガブリーニ,イナズマイレブン
ジョルジョ・ジャンニーニ,イナズマイレブン
ダンテ・ディアブロ,イナズマイレブン
ラファエレ・ジェネラーニ,イナズマイレブン
ダニエレ・サンクティス,イナズマイレブン
エンリコ・オリビエ,イナズマイレブン
アレサンドロ・ロッサ,イナズマイレブン
ジュゼッペ・カンナバロ,イナズマイレブン
ジャンルカ・ザナルディ,イナズマイレブン
ミスターK（ミスターケイ） / 影山 零治（かげやま れいじ）,イナズマイレブン
パオロ,イナズマイレブン
ルシェ,イナズマイレブン
ルカ,イナズマイレブン
デモーニオ・ストラーダ,イナズマイレブン
インディゴ・ラズリ,イナズマイレブン
ロゼオ・ディアマンテ,イナズマイレブン
アズベル・トルケーゼ,イナズマイレブン
ネッロ・アーガタ,イナズマイレブン
アズロ・ザッフィーレ,イナズマイレブン
ベルディオ・ズメラルド,イナズマイレブン
ロッソ・グラナート,イナズマイレブン
ジャッロ・トパーツィオ,イナズマイレブン
ビオレテ・アメティスタ,イナズマイレブン
ビアンコ・ペルラ,イナズマイレブン
グリッジョ・ジェッソ,イナズマイレブン
パルド・ベリッロ,イナズマイレブン
マッローネ・ティタニート,イナズマイレブン
アマラント・ルビーノ,イナズマイレブン
ラッティモ・オパーレ,イナズマイレブン
マック・ロニージョ,イナズマイレブン
ファルカオ・ダシウバ,イナズマイレブン
ラガルート・カルロス,イナズマイレブン
バーグレ・アントニオ,イナズマイレブン
モンストロ,イナズマイレブン
フォルミガ・クレメンス,イナズマイレブン
プレザ,イナズマイレブン
ボルボレタ・バルボッサ,イナズマイレブン
コルジァ・セレーゾ,イナズマイレブン
レオナルド・アルメイダ,イナズマイレブン
ガト,イナズマイレブン
ジャバリー・リベイロ,イナズマイレブン
ウルソ・ノゲイラ,イナズマイレブン
カバーロ・オリビエラ,イナズマイレブン
ティグレ・メンデス,イナズマイレブン
グリロ・サントス,イナズマイレブン
レオン・サムス,イナズマイレブン
ガルシルド・ベイハン,イナズマイレブン
ロココ・ウルパ,イナズマイレブン
ウィンディ・ファスタ,イナズマイレブン
ウォルター・マウンテン,イナズマイレブン
ジニー・ゲイノ,イナズマイレブン
マロン・イアン,イナズマイレブン
シンティ・ハンパ,イナズマイレブン
ユーム・リンジー,イナズマイレブン
キート・ライアンド,イナズマイレブン
マキシ・クゥ,イナズマイレブン
ゴーシュ・フレア,イナズマイレブン
ドラゴ・ヒル,イナズマイレブン
ケーン・サイトー,イナズマイレブン
マッコール・キサッラ,イナズマイレブン
メイガー・ネイサン,イナズマイレブン
リュー・スケール,イナズマイレブン
スキッド・ウー,イナズマイレブン
アラヤ・ダイスケ / 円堂 大介（えんどう だいすけ）,イナズマイレブン
雷門 夏未【雷門中】,イナズマイレブン
ケラルド・ナバル,イナズマイレブン
フェルミン・サンチェス,イナズマイレブン
ホセ・コスタ,イナズマイレブン
ラファエル・ロペス,イナズマイレブン
アントニオ・ガリウス,イナズマイレブン
ホアン・ナダル,イナズマイレブン
イゴル・フレイレ,イナズマイレブン
ミケル・ペレイロ,イナズマイレブン
ペドロ・モレノ,イナズマイレブン
サムエル・マヨ,イナズマイレブン
ダビ・ペロキ,イナズマイレブン
ファン・スベルディア,イナズマイレブン
イサーク・セサル,イナズマイレブン
ラウデリーノ・サストレ,イナズマイレブン
カルロス・アロヨ,イナズマイレブン
フェデリコ・ルビエラ,イナズマイレブン
ピエール・ゴダン,イナズマイレブン
ラッジ・パアラ,イナズマイレブン
ミゲル・アーロン,イナズマイレブン
フランツ・プジョル,イナズマイレブン
ケビン・ピノ,イナズマイレブン
ローラン・ペレク,イナズマイレブン
ロニー・ワイス,イナズマイレブン
ステファン・エノ,イナズマイレブン
ジュリアン・ルソー,イナズマイレブン
ジェローム・エロワ,イナズマイレブン
アラン・ファリオ,イナズマイレブン
エミール・ラザノ,イナズマイレブン
アンドレ・パンゾ,イナズマイレブン
ジャン・ジュタン,イナズマイレブン
クロード・モロー,イナズマイレブン
ミシェル・モラン,イナズマイレブン
ヨナス・ポラック,イナズマイレブン
トルステン・ベルガー,イナズマイレブン
アレクサンダー・ハウゼン,イナズマイレブン
ハイリンヒ・フリッツ,イナズマイレブン
クルト・ザベル,イナズマイレブン
ルーカ・シュミット,イナズマイレブン
テオドール・ウルリッヒ,イナズマイレブン
ヤン・オルデノ,イナズマイレブン
ニクラス・カスター,イナズマイレブン
マキシミリアン・ミラツ,イナズマイレブン
ペーター・ニムケ,イナズマイレブン
ゲラルト・エンダース,イナズマイレブン
エルビン・フォルツ,イナズマイレブン
イエンス・ホフマン,イナズマイレブン
エルンスト・フロデノ,イナズマイレブン
マヌエル・エーヴェルス,イナズマイレブン
ジェイク・ファナ,イナズマイレブン
ゾラニ・バロイ,イナズマイレブン
ディンガ・フィグラン,イナズマイレブン
ムゾンゲ・レドワバ,イナズマイレブン
カシアス・トベラ,イナズマイレブン
アソール・ノルキア,イナズマイレブン
アバリ・マリンガ,イナズマイレブン
スラニ・ムロンゴ,イナズマイレブン
レジー・イネス,イナズマイレブン
ナタル・ツォラ,イナズマイレブン
ムラムリ・ザマニ,イナズマイレブン
ケネデ・ムロベッヅィ,イナズマイレブン
ムブレロ・ツィンバ,イナズマイレブン
ヘゼキエル・デビリアズ,イナズマイレブン
ヒュー・マケバ,イナズマイレブン
テンバ・セペング,イナズマイレブン
ラボック・ヘンクタッカー,イナズマイレブン
フォクス,イナズマイレブン
ジャッカル,イナズマイレブン
バファロ,イナズマイレブン
ディンゴ,イナズマイレブン
オウル,イナズマイレブン
ヘッジホッグ,イナズマイレブン
マンティス,イナズマイレブン
クロウ,イナズマイレブン
コヨーテ,イナズマイレブン
スコーピオ,イナズマイレブン
ゴライアス,イナズマイレブン
スパイダー,イナズマイレブン
ジラフ,イナズマイレブン
ガビアル,イナズマイレブン
パピヨン,イナズマイレブン
セイン,イナズマイレブン
ネネル,イナズマイレブン
エルフェル,イナズマイレブン
ウイネル,イナズマイレブン
ギュエール,イナズマイレブン
エノレル,イナズマイレブン
ゲネル,イナズマイレブン
エカデル,イナズマイレブン
サキネル,イナズマイレブン
アイエル,イナズマイレブン
エヌエル,イナズマイレブン
デスタ,イナズマイレブン
アスタロス,イナズマイレブン
ベルゼブ,イナズマイレブン
ヘビーモス,イナズマイレブン
メフィスト,イナズマイレブン
サタナトス,イナズマイレブン
アビゴール,イナズマイレブン
ベリアル,イナズマイレブン
グラーシャ,イナズマイレブン
バルバトス,イナズマイレブン
アラクネス,イナズマイレブン
円堂 カノン（えんどう カノン）,イナズマイレブン
エルゼス・キラード,イナズマイレブン
バダップ・スリード,イナズマイレブン
エスカバ / エスカ・バメル,イナズマイレブン
ミストレ / ミストレーネ・カルス,イナズマイレブン
ザゴメル・ザンデ,イナズマイレブン
ゲボー / ゲボ・トランガス,イナズマイレブン
ブボー / ブボ・トランガス,イナズマイレブン
ダイッコ・ブーカ,イナズマイレブン
ジニスキー / ジニス・ジンキンス,イナズマイレブン
ドラッヘ・ギュンター,イナズマイレブン
イッカス / イッカ・スタックス,イナズマイレブン
